ID	Query	LDaQ	realCost
2832	PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX sim: <http://purl.org/ontology/similarity/> PREFIX dbpo: <http://dbpedia.org/ontology/> PREFIX dbpp: <http://dbpedia.org/property/> SELECT DISTINCT ?auri ?aname ?puri ?pname WHERE { <http://dbpedia.org/resource/Maria_McKee> <http://dbpedia.org/ontology/hometown> ?puri . ?auri <http://dbpedia.org/ontology/hometown> ?puri ; a ?type ; foaf:name ?aname . ?puri rdfs:label ?pname . FILTER (LANG(?pname)="en") FILTER ( REGEX (STR(?type),"music","i") ) FILTER (?puri != <http://dbpedia.org/resource/United_States>) } LIMIT 10	PREFIX dbpp: <http://dbpedia.org/property/> PREFIX mo: <http://purl.org/ontology/mo/> PREFIX dbpo: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX sim: <http://purl.org/ontology/similarity/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?auri ?aname ?puri ?pname WHERE { SERVICE SILENT <http://dbpedia.org/resource/Maria_McKee> { <http://dbpedia.org/resource/Maria_McKee> dbpo:hometown ?puri . FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) } SERVICE SILENT ?auri { ?auri dbpo:hometown ?puri . FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) ?auri rdf:type ?type . FILTER regex(str(?type), "music", "i") ?auri foaf:name ?aname . } SERVICE SILENT ?puri { ?puri rdfs:label ?pname . FILTER ( ?puri != <http://dbpedia.org/resource/United_States> ) FILTER ( lang(?pname) = "en" ) } } LIMIT 10 	3.0
2835	SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Python-scripted_video_games> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Python-scripted_video_games> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Python-scripted_video_games> .} SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER ( lang(?label) = "en" ) } } 	1.0
2836	SELECT ?type ?label WHERE { <http://dbpedia.org/resource/Buttermere> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type OPTIONAL { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER langMatches(lang(?label), "en") } }	SELECT ?type ?label WHERE { SERVICE SILENT <http://dbpedia.org/resource/Buttermere> { <http://dbpedia.org/resource/Buttermere> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type . } SERVICE SILENT ?type { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER langMatches(lang(?label), "en") } } 	30.0
2837	SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:TeX> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:TeX> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:TeX> .} SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER ( lang(?label) = "en" ) } } 	27.0
2839	SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Bulletin_board_system> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Bulletin_board_system> { ?concept <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Bulletin_board_system> .} SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER ( lang(?label) = "en" ) } } 	20.0
2845	SELECT ?object ?objectLabel WHERE {<http://dbpedia.org/resource/1980s> <http://purl.org/dc/terms/subject> ?object .?object <http://www.w3.org/2000/01/rdf-schema#label> ?objectLabel .}	SELECT ?object ?objectLabel WHERE { SERVICE SILENT <http://dbpedia.org/resource/1980s> { <http://dbpedia.org/resource/1980s> <http://purl.org/dc/terms/subject> ?object . } SERVICE SILENT ?object { ?object <http://www.w3.org/2000/01/rdf-schema#label> ?objectLabel .} } 	3.0
2847	SELECT ?type ?label WHERE { <http://xmlns.com/foaf/0.1/Person> <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?type OPTIONAL { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER langMatches(lang(?label), "en") } }	SELECT ?type ?label WHERE { SERVICE SILENT <http://xmlns.com/foaf/0.1/Person> { <http://xmlns.com/foaf/0.1/Person> <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?type . } SERVICE SILENT ?type { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER langMatches(lang(?label), "en") } } 	4.0
2850	PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> select ?Name where {?x rdfs:label ?Name. ?x <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Ski_areas_and_resorts_in_Denmark>. FILTER (LANG(?Name) = 'en').}	PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?Name WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Ski_areas_and_resorts_in_Denmark> { ?x <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Ski_areas_and_resorts_in_Denmark> .} SERVICE SILENT ?x { ?x rdfs:label ?Name . FILTER ( lang(?Name) = "en" ) } } 	2.0
2851	SELECT ?type ?label WHERE { <http://dbpedia.org/resource/Yellow> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type OPTIONAL { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER langMatches(lang(?label), "en") } }	SELECT ?type ?label WHERE { SERVICE SILENT <http://dbpedia.org/resource/Yellow> { <http://dbpedia.org/resource/Yellow> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type . } SERVICE SILENT ?type { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER langMatches(lang(?label), "en") } } 	4.0
2852	SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Assemblers> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Assemblers> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Assemblers> .} SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER ( lang(?label) = "en" ) } } 	37.0
2853	SELECT ?citySE ?name WHERE { {<http://dbpedia.org/resource/Eindhoven> <http://dbpedia.org/property/southeast> ?citySE . ?citySE <http://xmlns.com/foaf/0.1/name> ?name } }	SELECT ?citySE ?name WHERE { SERVICE SILENT <http://dbpedia.org/resource/Eindhoven> { <http://dbpedia.org/resource/Eindhoven> <http://dbpedia.org/property/southeast> ?citySE . } SERVICE SILENT ?citySE { ?citySE <http://xmlns.com/foaf/0.1/name> ?name .} } 	2.0
2857	PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> SELECT DISTINCT * WHERE { <http://dbpedia.org/resource/Maynard_Ferguson> wo:genre ?genre . ?genre rdfs:label ?genreName . ?genre wo:abstract ?genreAbstract . FILTER langMatches( lang(?genreName), "EN" ) FILTER langMatches( lang(?genreAbstract), "EN" ) }	PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT * WHERE { SERVICE SILENT wiki:Maynard_Ferguson { wiki:Maynard_Ferguson wo:genre ?genre . } SERVICE SILENT ?genre { ?genre rdfs:label ?genreName . FILTER langMatches(lang(?genreName), "EN") ?genre wo:abstract ?genreAbstract . FILTER langMatches(lang(?genreAbstract), "EN") } } 	2.0
2859	SELECT DISTINCT ?x0 WHERE { ?x0 <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Nick_Gomez>. ?x0 <http://dbpedia.org/ontology/previousWork> <http://dbpedia.org/resource/46_Long>. ?x0 <http://dbpedia.org/ontology/releaseDate> "1999-01-24"^^<http://www.w3.org/2001/XMLSchema#date>. ?x0 <http://dbpedia.org/ontology/seasonNumber> "1"^^<http://www.w3.org/2001/XMLSchema#integer>. ?x0 <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/The_Sopranos>. }	SELECT DISTINCT ?x0 WHERE { SERVICE SILENT <http://dbpedia.org/resource/Nick_Gomez> { ?x0 <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Nick_Gomez> .} SERVICE SILENT <http://dbpedia.org/resource/46_Long> { ?x0 <http://dbpedia.org/ontology/previousWork> <http://dbpedia.org/resource/46_Long> .} SERVICE SILENT ?x0 { ?x0 <http://dbpedia.org/ontology/releaseDate> "1999-01-24"^^<http://www.w3.org/2001/XMLSchema#date> ; <http://dbpedia.org/ontology/seasonNumber> 1 . } SERVICE SILENT <http://dbpedia.org/resource/The_Sopranos> { ?x0 <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/The_Sopranos> .} } 	2.0
2863	SELECT ?cityNE ?name WHERE { {<http://dbpedia.org/resource/Helmond> <http://dbpedia.org/property/northeast> ?cityNE . ?cityNE <http://xmlns.com/foaf/0.1/name> ?name } }	SELECT ?cityNE ?name WHERE { SERVICE SILENT <http://dbpedia.org/resource/Helmond> { <http://dbpedia.org/resource/Helmond> <http://dbpedia.org/property/northeast> ?cityNE . } SERVICE SILENT ?cityNE { ?cityNE <http://xmlns.com/foaf/0.1/name> ?name .} } 	2.0
2866	SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Flash_artists> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Flash_artists> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Flash_artists> .} SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER ( lang(?label) = "en" ) } } 	34.0
2868	PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbpedia: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dcterms: <http://purl.org/dc/terms/> select distinct ?obj ?objLabel where { ?obj dcterms:subject <http://dbpedia.org/resource/Category:Liberal_democracies>. optional { ?obj rdfs:label ?objLabel. filter(lang(?objLabel)='en'). } ?obj <http://dbpedia.org/ontology/areaTotal> ?value0 . ?obj <http://dbpedia.org/property/gdpPppYear> ?value1 . } offset 0	PREFIX : <http://dbpedia.org/resource/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia: <http://dbpedia.org/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX dcterms: <http://purl.org/dc/terms/> PREFIX dbpedia2: <http://dbpedia.org/property/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> SELECT DISTINCT ?obj ?objLabel WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Liberal_democracies> { ?obj dcterms:subject <http://dbpedia.org/resource/Category:Liberal_democracies> .} SERVICE SILENT ?obj { ?obj rdfs:label ?objLabel . FILTER ( lang(?objLabel) = "en" ) ?obj dbo:areaTotal ?value0 ; dbpedia2:gdpPppYear ?value1 . } } OFFSET 0 	1.0
2871	PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX dbpedia-res: <http://dbpedia.org/resource/> SELECT ?albumName WHERE { ?album dbpedia-owl:producer dbpedia-res:Timbaland . ?album rdfs:label ?albumName FILTER ( lang(?albumName) = "" ) } LIMIT 100	PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX dbpedia-res: <http://dbpedia.org/resource/> SELECT ?albumName WHERE { SERVICE SILENT dbpedia-res:Timbaland { ?album dbpedia-owl:producer dbpedia-res:Timbaland .} SERVICE SILENT ?album { ?album rdfs:label ?albumName . FILTER ( lang(?albumName) = "" ) } } LIMIT 100 	144.0
2875	PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX dbpedia: <http://dbpedia.org/resource/> PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> PREFIX : <http://dbpedia.org/resource/> PREFIX prop: <http://dbpedia.org/property/> PREFIX dbpedia: <http://dbpedia.org/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?value ?label WHERE { <http://dbpedia.org/resource/François_Mitterrand> <http://www.w3.org/2002/07/owl#sameAs> ?value . FILTER (?value != <http://www.w3.org/2002/07/owl#Thing> ) OPTIONAL { ?value rdfs:label ?label .FILTER (langMatches( lang(?label), "fr") || langMatches( lang(?label), "" )) . }}	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX : <http://dbpedia.org/resource/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX prop: <http://dbpedia.org/property/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia: <http://dbpedia.org/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX dc: <http://purl.org/dc/elements/1.1/> SELECT DISTINCT ?value ?label WHERE { SERVICE SILENT :François_Mitterrand { :François_Mitterrand owl:sameAs ?value . FILTER ( ?value != owl:Thing ) } SERVICE SILENT ?value { ?value rdfs:label ?label . FILTER ( ?value != owl:Thing ) FILTER ( langMatches(lang(?label), "fr") || langMatches(lang(?label), "") ) } } 	88.0
2881	PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX foaf: <http://xmlns.com/foaf/0.1/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX dbpedia: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia: <http://dbpedia.org/resource/> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT ?page ?abstract ?comment ?image ?wikipedia WHERE { <http://dbpedia.org/resource/Anagen> dbpedia-owl:wikiPageRedirects ?page . ?page rdfs:comment ?comment . ?page dbpedia-owl:abstract ?abstract . ?page foaf:isPrimaryTopicOf ?wikipedia . OPTIONAL { ?page foaf:depiction ?image . } FILTER (LANG(?abstract)='en' && LANG(?comment)='en') }	PREFIX dbpedia: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX foaf: <http://xmlns.com/foaf/0.1/> SELECT ?page ?abstract ?comment ?image ?wikipedia WHERE { SERVICE SILENT dbpedia:Anagen { dbpedia:Anagen dbpedia-owl:wikiPageRedirects ?page . } SERVICE SILENT ?page { ?page rdfs:comment ?comment . FILTER ( ( lang(?abstract) = "en" ) && ( lang(?comment) = "en" ) ) ?page dbpedia-owl:abstract ?abstract . FILTER ( ( lang(?abstract) = "en" ) && ( lang(?comment) = "en" ) ) ?page foaf:isPrimaryTopicOf ?wikipedia ; foaf:depiction ?image . } } 	2.0
2884	PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX : <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { :Susanne_Abbuehl dbpedia-owl:birthPlace ?birthPlaceObj . ?birthPlaceObj rdfs:label ?label . FILTER (LANG(?label) = 'en') } LIMIT 5	PREFIX : <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> SELECT DISTINCT ?label WHERE { SERVICE SILENT :Susanne_Abbuehl { :Susanne_Abbuehl dbpedia-owl:birthPlace ?birthPlaceObj . } SERVICE SILENT ?birthPlaceObj { ?birthPlaceObj rdfs:label ?label . FILTER ( lang(?label) = "en" ) } } LIMIT 5 	2.0
2885	PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> SELECT DISTINCT * WHERE { <http://dbpedia.org/resource/Erick_Morillo> wo:occupation ?occup . ?occup rdfs:label ?occupName . FILTER langMatches( lang(?occupName), "EN" ) }	PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT * WHERE { SERVICE SILENT wiki:Erick_Morillo { wiki:Erick_Morillo wo:occupation ?occup . } SERVICE SILENT ?occup { ?occup rdfs:label ?occupName . FILTER langMatches(lang(?occupName), "EN") } } 	3.0
2887	PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> SELECT DISTINCT * WHERE { <http://dbpedia.org/resource/Steve_Gadd> wo:genre ?genre . ?genre rdfs:label ?genreName . ?genre wo:abstract ?genreAbstract . FILTER langMatches( lang(?genreName), "EN" ) FILTER langMatches( lang(?genreAbstract), "EN" ) }	PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT * WHERE { SERVICE SILENT wiki:Steve_Gadd { wiki:Steve_Gadd wo:genre ?genre . } SERVICE SILENT ?genre { ?genre rdfs:label ?genreName . FILTER langMatches(lang(?genreName), "EN") ?genre wo:abstract ?genreAbstract . FILTER langMatches(lang(?genreAbstract), "EN") } } 	6.0
2889	SELECT ?type ?label WHERE { <http://dbpedia.org/resource/Frastanz> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type OPTIONAL { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label FILTER langMatches(lang(?label), "en") } }	SELECT ?type ?label WHERE { SERVICE SILENT <http://dbpedia.org/resource/Frastanz> { <http://dbpedia.org/resource/Frastanz> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type . } SERVICE SILENT ?type { ?type <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER langMatches(lang(?label), "en") } } 	23.0
2890	SELECT DISTINCT ?label ?concept WHERE { { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Anti-patterns> } { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label } FILTER ( lang(?label) = "en" ) }	SELECT DISTINCT ?label ?concept WHERE { SERVICE SILENT <http://dbpedia.org/resource/Category:Anti-patterns> { ?concept <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Anti-patterns> .} SERVICE SILENT ?concept { ?concept <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER ( lang(?label) = "en" ) } } 	74.0
2891	PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> SELECT DISTINCT * WHERE { <http://dbpedia.org/resource/Talking_Heads> wo:genre ?genre . ?genre rdfs:label ?genreName . ?genre wo:abstract ?genreAbstract . FILTER langMatches( lang(?genreName), "EN" ) FILTER langMatches( lang(?genreAbstract), "EN" ) }	PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX wiki: <http://dbpedia.org/resource/> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX wo: <http://dbpedia.org/ontology/> PREFIX wp: <http://dbpedia.org/property/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT * WHERE { SERVICE SILENT wiki:Talking_Heads { wiki:Talking_Heads wo:genre ?genre . } SERVICE SILENT ?genre { ?genre rdfs:label ?genreName . FILTER langMatches(lang(?genreName), "EN") ?genre wo:abstract ?genreAbstract . FILTER langMatches(lang(?genreAbstract), "EN") } } 	6.0
2892	PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX : <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { :Zazie dbpedia-owl:birthPlace ?birthPlaceObj . ?birthPlaceObj rdfs:label ?label . FILTER (LANG(?label) = 'en') } LIMIT 5	PREFIX : <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbpedia-owl: <http://dbpedia.org/ontology/> PREFIX owl: <http://www.w3.org/2002/07/owl#> SELECT DISTINCT ?label WHERE { SERVICE SILENT :Zazie { :Zazie dbpedia-owl:birthPlace ?birthPlaceObj .} SERVICE SILENT ?birthPlaceObj { ?birthPlaceObj rdfs:label ?label . FILTER ( lang(?label) = "en" ) } } LIMIT 5 	3.0
